名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
高端小区北欧风格独栋别墅,"
                跨界轰趴北欧风情店。位于天津高档花园式别墅区，北欧风情独栋别墅，设有台球，KTV,桌上足球，德州扑克桌，自动麻将机2台，XBOX体感游戏机，网吧，大型电玩，桌游。另有6个卧室，超大厨房，200平米小院，适合团建，家庭聚会，室外婚礼，同学聚会等活动。
            ",100%,18 晚,独栋别墅,6室3厅,整租,"双人床
双人床
其他",9张,15人,2,700平米,提供,天津-西青区-友谊南路-玛歌庄园,天津,西青区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '拖鞋', '热水壶', '保安', '餐具炊具', '电吹风', '被子']",小区距离市中心15分钟车程，周围有大型购物中心，超市，生活便利,地铁6号线下车后打车,1, 很棒，东西全，装修好,4800,5.0,100.0%,70.0%,80.0%,3,5.0
最美三居 紧邻商业大学可住6人,"
                这套三居是由房东我亲自设计的轻奢风格，温馨舒适，简洁大方，让您在外体会不一样的住家感觉。南北通透，格局方正，双卫均为明厕，彻底摆脱异味干扰。32层的高度让您一览天津全景，美不胜收！

内部情况

室内配备舒适的大床和喜临门的床垫，相信您一定会舒舒服服的睡个好觉！除此之外我们还配备全新的空调、衣柜、挂墙液晶电视、双开门冰箱，全自动洗衣机、免费百兆wifi、以及独立的2个卫生间哦（2个热水器，24小时热水是妥妥的）！如果您想做饭，厨房可提供给您，需要额外收费的哈，给您提供锅碗瓢盆，但不提供吃的食物包含调料哈，快来大展厨艺吧！
            ",100%,38 晚,小区住宅,3室2厅,整租,"双人床
双人床
沙发床",4张,6人,2,118平米,提供,天津-红桥区-佳宁道与双环路交汇处东北处 -振业名邸,天津,红桥区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '被子']",楼宇内安装有进口大品牌电梯2部，楼道干净整洁。同时小区内绿树环抱、清新怡人，在这里您不用担心大都市的吵闹，安静的只有风吹树叶声。物业管理安全有序，24小时保安巡视，行人出入需刷门禁卡，让您住的安全放心。小区周边设施齐全，餐饮设施有肯德基、永和大王、麦当劳等等，金融机构有建设银行、中国银行等。,紧邻地铁一号线西横堤站，楼下就是公交总站，有37、34、602，837、22路等,2, 地铁交通便利#  设施齐全#  干净卫生#  小区环境好#  + 老板服务热情，周到。住宿卫生干净。,398,5.0,100.0%,100.0%,100.0%,3,5.0
中央商务区瑞湾豪华舒适大床房,"
                公寓坐落于滨海新区中央商务区，周边交通路网完善，便捷的连接外滩商业区、于家堡金融区、经济开发区及天津港保税区。瑞湾国际公寓提供宽敞的起居室和餐厅、设备齐全期待您的光临
            ",100%,22 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,76平米,提供,天津-滨海新区-新港一号路-瑞湾国际汇馆,天津,滨海新区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '被子', '浴缸']",公寓紧邻 海河外滩公园 极地海洋馆 中心商务区 金融区 全国最大城际快车中转站 宝龙城娱乐商城 万达娱乐商城 星星影城,游玩景点（距离优先） 1、天津海昌极地海洋世界（4A），距离＜6km 2、东疆湾黄金海岸（4A），距离＜21km 3、天津方特欢乐世界（4A），距＜21km 4、天津泰达航母主题公园，距离＜24km 5、天津欢乐谷（4A），距离＜46km 6、古文化街旅游区（5A），距离＜52km 7、五大道文化旅游区（4A），距离＜52km 8、意大利风情旅游区（4A），距离距离＜52km 超市（距离优先）：,0,,200,,100.0%,71.4%,95.6%,9,3.222
机场附近多肉植物之家 双床,"
                机场十分钟，附近空港经济区，东丽湖度假区。多条公交线路，地铁2号线直达天津站，室内多肉植物可供观赏，欧式风格装修古典柔和现代元素，让您的旅途愉快惬意，欢迎您的光临！
            ",100%,31 晚,小区住宅,2室1厅,整租,"双人床
双人床",2张,4人,1,64平米,提供,天津-东丽区-飞机场附近华明示范镇-润园,天津,东丽区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许携带宠物', '被子']",小区配套设施良好，停车免费,地铁二号线就在附近，660路818路935路多条公交十多分钟直达室内，欢乐谷恒大温泉。,3, 好得很，非常棒+ 好得很，非常棒+ 第一次体验民宿，一点都没有失望！配朋友在天津转机，然后找的离机场比较近的。打车差不多十分钟就到了。房间很大，很新，很干净。超出预期~还有很多多肉，特别好。房东大哥人也很好，帮我们多存了半天行李，还帮我们送到了机场，给个大大的好评！,238,5.0,100.0%,100.0%,100.0%,1,5.0
位于城市最中央和平区南京路核心地带豪华套房,"
                【品牌】
威斯汀,隶属于全球公寓集团美国喜达屋&万豪。
在五星级里属高端,偏商务,定位在喜来登之上, St.Regis之下。

【配置】
里外套间73平,是公寓标间2倍,如果酒店来卖的话会1500RMB以上。
入住保洁及床品更换由公寓的专业团队提供。
践行共享经济之精神,第二日起需自助服务。
配备厨房、微波炉、洗衣机、烘干机、天梦之床、加湿器、2部电视…
【优势】
和一般民宿不同,您约等于入住了五星公寓的套房,还可以使用奢华大堂、健身房、餐厅、商务中心…,您会获得更佳的入住体验,接待访客也会更有面子…
对自己好一点,请把津门之旅的起点设在这吧!
房源
比一般民宿好的是可以共享公寓的诸多设施资源。
比公寓好的是面积大,超宽敞,里外套间适于加床、会客,还可以自己动手做饭、洗衣...
好多情侣评价说享誉的天梦之床名不虚传…
威斯汀公寓拥有可能是天津超赞的游泳池,玻璃穹顶,晚上可以一边游泳一边数星星。健身房、桑拿、蒸汽、泡池…一应俱全。

            ",100%,24 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,73平米,提供,天津-和平区-南京路101号-威斯汀公寓,天津,和平区,"['无线WIFI', '空调', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '一次性用品', '热水壶', '电梯', '餐具炊具', '电吹风', '接待外宾', '被子']",南京路,"【位置】
坐落于城市的最、最、最中心,相当于北京建国门、上海人民广场，交通极其便利。",0,,498,,100.0%,100.0%,100.0%,2,5.0
滨海国际机场直通公寓行政双床房,"
                何以为家?在菲诺看来,家-----是心中的一份安稳，眼神中的一份温暖，话语中的一份关切.秉着对家的这份理解和执着,我们把每一间公寓都做了精心布置.为了让您有回家的安心和舒适,精致的北欧风格是我们为您的甄选。在这被称为“万国建筑博物馆”的天津.我们就是您在这陌生城市里温馨的港湾。我们特意为您准备了智能足浴盆,配合为您准备的一次性药浴包，消除您1天旅游的疲惫或是1天工作的辛劳。期待您在入住我们的公寓后，发现更多的惊喜和感动。这也是我们一直为之努力的目标。您的“家”就在天津繁华中心,紧邻步行街,恒隆\天河城、大悦城、万达影城。您可以在老美华买双布鞋，在桂顺斋买点麻花，在辽宁路小吃街或者南市食品街吃各式各样的小吃，切记要买对的不要多买哦。逛完吃完可以在海河边看看夜景，朝着海河溯流而上会看到许多美丽的桥和媲美伦敦之眼的摩天轮！
            ",100%,26 晚,小区住宅,1室0厅,整租,双人床,2张,4人,1,65平米,提供,天津-东丽区-中心大道55号 -皇冠国际公寓,天津,东丽区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '提供早餐', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾']",公寓位于天津市商业中心滨江道步行街西侧，距离南市食品街、古文化街、大悦城、意大利风情街，步行约5分至十分钟。临近天津之眼、天津站、五大道、西开教堂，瓷房子等。,交通便捷，距地铁二号线东南角站仅500米。从酒店驱车8分钟可以抵达天津站，驱车30分钟可以抵达天津滨海机场。,0,,666,,100.0%,100.0%,83.3%,4,5.0
奇趴来了 东丽湖湖边轰趴馆 日租别墅,"
                本店的宗旨是提供拎包“可住的,可玩的,可吃的""轰趴别墅
四层450平米超大独栋别墅
吃：餐具30多套,刀具锅具齐全,炒菜锅,电饭锅,电火锅,蒸煮锅,基本调料,油盐酱醋,花椒,孜然,辣椒面,烧烤炭5斤.小院内有凉亭,烧烤炉.有冰箱,饮水机,提供2大桶纯净水
玩：位于东丽湖旅游度假区,紧邻华侨城欢乐谷和恒大温泉城,可租自行车环湖游览.有葡萄基地和草莓大棚,可采摘.小区内有垂钓池塘,没有飘絮杨树,东丽湖地区不飘杨絮
乐：别墅内置游艺有标准大台球案一张,xbox360带体感游戏机（200多个游戏）,ktv一套（别墅隔音效果好,不必担心被投诉扰民）,自动麻将机一台,手搓麻将桌一台,全新桌游卡牌若干
住：卧具30多套,双人床7张,单人床6张,榻榻米若干,地采暖.冬季室温22度左右，一层有卧室方便老人
行：提供两辆自行车,超市菜场采买时可使用.小区内也可租用共享单车.从市区出发可乘坐地铁2号线,空港站换乘公交到华侨城站.东丽湖区域内免费接人.店主也可帮助包车,提供合作单位租车电话
店主住隔壁小区,租用中遇到问题可以联系店主解决,不像一些别墅,给了钥匙,基本上就没有任何服务了,本店绝不会出现这种情况
            ",100%,18 晚,独栋别墅,7室3厅,整租,"双人床
双人床
榻榻米",14张,25人,3,450平米,提供,天津-东丽区-朗钜天域-水镜天苑,天津,东丽区,"['宽带上网', '无线WIFI', '电视', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '拖鞋', '热水壶', '保安', '餐具炊具', '允许抽烟', '接待外宾', '被子']",超市，菜场，银行，饭店都步行可至,663终点站，地铁2号线,2, 别墅非常好，东西也齐全，房东阿姨也特别好~有机会还会再去玩+ 我能说我忘了拍照了吗，一切都是那么的舒心，谢谢！,1580,5.0,100.0%,95.0%,95.8%,2,5.0
天津之眼古文化街两室主题双大床房套房古文化街,"
                本公寓为家居装修风格，犹如回到了自己的家。身在他乡，感受家庭的温馨。咱们多数的房间位置会选择在既繁华又安静舒适的位置，根据多数人的心理因素来定的，很多现代轻年人都是想白天玩的好，晚上休息的好，或者出差图个方便快捷。
公寓47平米独立公寓，独立卫生间，24小时热水，49寸液晶电视，网络机顶盒，免费有线宽带，地暖，中央空调。收费停车位
            ",35%,32 晚,普通公寓,1室1厅,整租,"双人床
双人床",2张,4人,1,58平米,提供,天津-南开区-城厢东路与北城街交叉口-东北角艺术公寓,天津,南开区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '落地窗', '沙发', '茶几', '净水机', '洗浴用品', '牙具', '香皂', '电磁炉', '电饭煲', '投影设备', '灭火器']",公寓周边分布着繁华的大胡同商业街区和新世界大型购物中心，古文化街、估衣街、鼓楼、天津之眼景区近在咫尺，大型超市、多家银行、邮局、餐饮、影院、娱乐、KTV等场所一应俱全。公寓属高档小区，闹中取静，设有车位，专业保安24小时执勤，居住安全，是您商务住宿、休闲旅游、朋友聚汇的最佳温馨休闲场所。,天津火车站、望海楼、古文化街区（天津古文化街）驾车距离4.5公里（约11分钟）；天津滨海国际机场，驾车距离19.3公里（约33分钟）；天津南站，驾车距离20.0公里（约35分钟）；市中心，驾车距离8.3公（约18分钟）；天津站行车约8分钟，距离约3公里；天津西站行车约10分钟，距离约3.7公里；天津北站行车约9分钟，距离约3.2公里。,1, 脏，没法住,268,1.8,100.0%,100.0%,96.3%,12,4.883
天津之眼日系一居投影大床房古文化街近地铁,"
                本公寓为家居装修风格，犹如回到了自己的家。身在他乡，感受家庭的温馨
咱们多数的房间位置会选择在既繁华又安静舒适的位置，根据多数人的心理因素来定的，很多现代轻年人都是想白天玩的好，晚上休息的好，或者出差图个方便快捷。
公寓47平米独立公寓，独立卫生间，24小时热水，32寸液晶电视，网络机顶盒，免费有线宽带，地暖，中央空调。
            ",100%,32 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,47平米,提供,天津-南开区-城厢东路与北城街交叉口-东北角艺术公寓,天津,南开区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '茶几', '净水机', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '燃气灶', '投影设备', '灭火器']",公寓周边分布着繁华的大胡同商业街区和新世界大型购物中心，古文化街、估衣街、鼓楼、天津之眼景区近在咫尺，大型超市、多家银行、邮局、餐饮、影院、娱乐、KTV等场所一应俱全。公寓属高档小区，闹中取静，设有车位，专业保安24小时执勤，居住安全，是您商务住宿、休闲旅游、朋友聚汇的最佳温馨休闲场所。,"天津火车站、望海楼、古文化街区（天津古文化街）驾车距离4.5公里（约11分钟）；
天津滨海国际机场，驾车距离19.3公里（约33分钟）；
天津南站，驾车距离20.0公里（约35分钟）；
市中心，驾车距离8.3公（约18分钟）；
天津站行车约8分钟，距离约3公里；
天津西站行车约10分钟，距离约3.7公里；
天津北站行车约9分钟，距离约3.2公里。",0,,148,,100.0%,100.0%,96.3%,12,4.883
超值南开奥体旁55平米公寓 独立厨卫,"
                房间面积55平米，阳面房，整套出租，独立卫生间，封闭式厨房。房间为精装修，配备电视、空调、洗衣机、冰箱、有线及无线宽带等设施。24小时热水淋浴，配备门禁系统确保您人身和财物安全；内外双层防盗门。
1、乘公交12路可到达天津动物园、水上公园、奥体中心、海河剧院、南翠屏公园、天津体育学院、天津大学、南开大学、古文化街、鼓楼。
2、乘公交951路可达天津站、五大道风景区、海河意式风情区、滨湖剧院。
3、乘公交870路可到达五大道风景区、小白楼商业区、滨江道及和平路商业街。
4、乘坐705路可直达梅江会展中心、水上公园、天津图书馆、南开大学西门、鞍山西道科贸街。
            ",100%,32 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,55平米,提供,天津-南开区-红旗南路与卫津南路交口-金福里,天津,南开区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '拖鞋', '热水壶', '保安', '对讲门禁', '餐具炊具', '允许抽烟', '接待外宾', '被子']",本店周边100至400米内，有津工超市、农业银行、李七庄邮局、中国联通电话局、中国移动营业厅，奥体中心游泳馆、空军464医院、体育中心菜市场、鹏天阁酒店，红宝石快捷酒店，理发店，药店，影印店等。,"乘坐公交12、870、878、951、快速1、711路空军医院站下车：便民1路、658、705、832、161、705、712、713路李七庄站下车；
1、天津（东）站可以乘951、832路直达。
2、天津西站可乘161路直达。
3、天津南站乘718路、在迎水道站换乘951路。",1, 干净 卫生 很满意,169,5.0,80.0%,100.0%,90.5%,6,4.917
奥体体院旁双人间热水宽带电视空调,"
                该单间为双人间，面积16平米。房间隔音效果好，有窗自然采光，通风效果好，空气清新。屋内设施齐全，有电视、空调、暖气、衣柜、双人床，五斗柜、梳妆台，组合音响等，提供卫星电视。每天专人打扫、消毒、床上用品每天清洗更换,请您放心使用。本店使用燃气热水器，卫生间每天清洁、消毒，24小时供应热水。干净卫生、拎包即可入住。
1.本店将为您提供热情周道服务。为学生，求职、培训、培护等居所。
2.如果您需要发票报销，本店可以提供发票，需要您按国家发票税点交纳相关费用。如果您能够承担发票税点所需费用，本店可提供办理机打地税发票的服务。
3.本单间提供加床服务，单人床每天10元。
            ",89%,32 晚,小区住宅,2室1厅,单间,双人床,1张,2人,1,18平米,提供,天津-南开区-红旗南路与卫津南路交口-金福里,天津,南开区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '拖鞋', '保安', '对讲门禁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '有窗户', '沙发', '茶几', '净水机', '灭火器']",步行100米内，有津工超市、农业银行、李七庄邮局、中国联通电话局、中国移动营业厅，奥体中心游泳馆、空军464医院、体育中心菜市场、鹏天阁酒店，红宝石快捷酒店。,乘坐公交12、870、878、951、快速1、711路空军医院站下车：712、658、705、832、161、705路李七庄站下车；天津站可以乘951、832路直达。,6, 住宿环境比较古早，是0几年的装修风格，可以拍出一些那个时候风格的照片。虽然是公共厕所但是意外的干净，住宿的人之间也很少打扰，隔音不是特别好，但也能接受。楼层不会很高，带行李箱不会爬很累，房东大爷人不错。+ 房东很热情，来了这里感觉很干净，没有怪味，有住家里的感觉。+ 住的挺好的，就是翻来覆去拖着不给押金是什么情况？明明微信就能转账，从头一天晚上八点说第二天早上八点，然后又说有事拖到下午三点，还不回信，结果找到客服姐姐三分钟解决，噗，有种欺负外地人的赶脚+ 干净，卫生，有家的感觉。房东很热心，人很好。必须五星好评+ 房间的布置超喜欢，窗外的风景让我好想再多住几天，再住久一些，不想离开+ 房东很热情！主要印象就是干净！舒适感高，有住家里的感觉！非常推荐入住！,75,4.5,80.0%,100.0%,90.5%,6,4.917
『木三民宿』-A 天塔奥体中心水滴奥城商圈6号线百吋超大投影一梯一户高层夜景很好,"
                点击我的头像可以查看适合2人入住的房源~~
如果您看上了哪一套房源,欢迎私信联系我,会给您一个超乎想象的价格

两室一厅,一梯一户,可以住2-4个人,两个房间风格略有不同:主卧是高级感的轻奢风装修,有一张温莎床、宜家床头柜、一面大大的落地镜、皮质蝴蝶椅、羊毛毯、丝绒材质的抱枕和窗帘等等,床垫偏软。次卧是简约工业风装修,铁艺的床和复古的罗马帘,宜家地毯、草编蒲团方便大家窝在房间里看书放松。两间卧室床垫为一软一硬,适合不同偏好的客人入住。卫生间干湿分离,提供一次性牙刷牙具、一客一换的毛巾、电动洗手液、洗护用品、吹风机、拖鞋等等,也十分推崇大家自行准备毛巾、床单这些私人物品哦!
客厅有100寸巨幕投影和小爱音箱,使用方法会提前告知,冰箱,吧台上的餐具,面包机,还有房间内的其他东西都可以使用或拍照,但不可以带走或损坏哦。水洗蓝色的墙面、木制地板、定制花色的地毯、充满层次的光源、点缀装饰画、绿植……希望大家能感受的到我们的用心和生活的品味!
门禁电梯刷卡,安全无忧,高层俯瞰城市夜景,是大家出差旅行、约会的理想住宿之选
            ",100%,24 晚,小区住宅,2室1厅,整租,"双人床
双人床",2张,4人,1,60平米,提供,天津-南开区-保泽道152号-秋泽园,天津,南开区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '全天热水', '电脑', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '接待儿童2到12岁', '接待老人60岁以上', '接待外宾', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '微波炉', '投影设备', '桌面游戏', '音响设备', '灭火器', '花园']","出行信息. [交通]近快速路和红旗路,交通便利
5~6公里可到达天塔、水滴体育场、水上公园、奥城商业广场、鲁能城购物中心、滨江道步行街、南开大悦城、和平大悦城等

800米即可到达6号线天拖站A口,骑行只需3分钟","出行信息. [交通]近快速路和红旗路,交通便利
5~6公里可到达天塔、水滴体育场、水上公园、奥城商业广场、鲁能城购物中心、滨江道步行街、南开大悦城、和平大悦城等
可与北京机场无缝连接~

800米即可到达6号线天拖站A口
天津站:6号线到长虹公园站换2号线(3元 共9站 约25分钟)
天津西站:6号线直达(3元 共9站 约17分钟)
天津南站:6号线红旗南路站换3号线(3元 共9站 约32分钟)
机场:6号线到长虹公园站换2号线(5元 共18站 约75分钟)",5, 干净卫生#  设施齐全#  + 房东很贴心，准备了很多小游戏，适合和朋友一起来住，下次还来！！！+ 整体就非常超出预期，可以停车，适合自驾游来住，小区环境也很好～住的很安心，加分。+ 小区环境好#  干净卫生#  + 小区环境很好，房间很干净,327,5.0,100.0%,100.0%,87.9%,4,2.5
新城南园精装干净单间,"
                房间装修简单干净，客厅有超大阳台，可观夜景，周围有大型商场，全天无线网，热水提供
            ",100%,18 晚,普通公寓,2室1厅,单间,双人床,1张,2人,1,20平米,提供,天津-蓟州区-新城南园,天津,蓟州区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '智能门锁', '被子']",有大型商场，配备餐饮，休闲购物中心，电影院，公园，水库,津蓟高速下，向城区外环方向，西外环往南外环方向，中昌南路方向100米路东,0,,198,,100.0%,100.0%,100.0%,1,0.0
北欧瞰海LOFT家庭房,"
                北欧风格的装修，可以直接看见海河美景，
            ",100%,32 晚,普通公寓,1室1厅,整租,"双人床
单人床",2张,3人,1,68平米,提供,天津-滨海新区-庆盛道与坨场南道交口-中惠熙元,天津,滨海新区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '全天热水', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '接待外宾', '被子']",,,0,,238,,100.0%,100.0%,95.8%,8,4.125
天津河东二号桥，九号线，公交站，阳光明媚大床,"
                你将结识一个热情，爱音乐，下厨，游戏，篮球的运动男生，希望与你一同感受天津城市慢节奏中式简约舒适风格的装修，配备舒适大床和床垫（棕榈乳胶床垫）！家用电器都是品牌货，三星自动洗衣机，三星双开门冰箱，老板抽油烟机，史密斯热水器，夏普电视，美的榨汁机和电饭煲！环境优雅清净保证睡眠质量！除此之外卧室还有空调、衣柜,免费wifi，自己独立卫生间！
            ",100%,24 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,69平米,提供,天津-河东区-津塘公路二号桥-建新东里,天津,河东区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '毛巾', '拖鞋', '热水壶', '接待外宾']",,位于河东二号桥，先锋路，出门就是公交站，760直达天津站和市中心，距离九号线二号站十分近,1, 房间宽敞，舒适度高~设施齐全，房东热情随和~干净，环境清静，周边商业配套成熟~紧邻“二线”，交通便利~很好~,188,5.0,100.0%,100.0%,100.0%,1,5.0
天津肿瘤医院旁日租房，周边水上公园，奥体中心，天塔,"
                此房间为2楼，夏天有空调，冬天有暖气，春秋均不能使用空调，下单前先联系房东确认有无空房，确认无误后方可下单付款，友情提示：订房的话，周一住，起租7天，周二住，起租6天，周三住，起租5天，周四住，起租4天，以此类推，节假日除外，谢谢合作！如遇节假日及特殊日期订房人太多不能保证留订单图片上一模一样的房间，只能留同等价位的房间，介意者慎拍。 本店楼层1~4楼，房型有一室一厅和两室，为了给广大前来就诊的病人及病人家属提供方便，屋内配有电视，机顶盒，房间备有电水壶，电饭锅，炒锅，蒸锅，电扇，空调，免费wifi，能洗澡，能做饭，被褥一客一换，干净卫生，拎包入住,交通便利,附近有菜市场和派出所，即安全又方便，适合来天津肿瘤医院就诊的病人和家属。住在本店的客户另备有医院门口优惠停车位供您选择。
            ",100%,16 晚,小区住宅,2室1厅,单间,"双人床
单人床",2张,3人,1,13平米,提供,天津-河西区-体院北-环湖南里,天津,河西区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '全天热水', '厨房', '热水壶', '保安', '餐具炊具', '智能门锁', '被子']",,小区门口有体院北公交总站，（951路，13路，直达天津火车站）878路，619路，（859路到天津火车站西站），866路，705路等等，小区外还有地铁6号线，交通非常便捷。另外提供火车站飞机场接送服务，详情价格咨询房东。,0,,100,,100.0%,100.0%,82.1%,13,3.154
紧邻永旺梦乐城大型休闲娱乐商场欧式洋房一楼（带小院）,"
                你将结识一个热情、开朗、爱交友、爱分享、喜爱读书音乐的文艺女青年，希望与你一同感受田园的悠闲、音乐的律动。
小窝是洋房一楼，有独立院落。你可以感受到花园洋房的闲适，可以到小院灌溉苗圃，也可以在超大客厅体验钢琴跳动出的美妙音符。住房内各种服务设施一应俱全，有两个卫生间，全天供应热水，还有洗衣机。人多使用也不会“排队”，房间都有空调，无线ｗｉｆｉ，网络电视，在家窝着也不会无聊，厨房可以做饭，房间里的书籍也可以供您阅读，小院也可以给您游玩，坐在石桌边喝一杯清茶也是不可多得的享受。不过对于刚刚露出“尖尖角”的小苗要小心爱护哦！希望你可以把这里当成自己的家一样去爱，去呵护。
            ",100%,30 晚,普通公寓,3室2厅,整租,"双人床
双人床",3张,6人,2,125平米,提供,天津-津南区-下小汀路东200米 -阳光波士顿上东苑,天津,津南区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '被子']",小区类似洋房别墅设计，绿荫遍地，木兰花开，有高质量儿童乐园，小窝距小区超市步行三分钟路程，半径500米左右可至永旺梦乐城大型休闲娱乐购物广场。吃喝玩乐一应俱全。,"这里紧邻永旺梦乐城大型休闲娱乐广场，旁边就是公交站，有220,655,808152,629等多条公交线路。驾车８分钟可以到达海河教育园区，去南开、天大新校区游览。位于地铁一号线延长线，虽暂未修通，但想坐地铁的话可以转多路公交至财经大学地铁站或复兴门地铁站乘坐。",0,,398,,100.0%,100.0%,100.0%,2,5.0
滨海新区中央商务区瑞湾精品街景双床房,"
                公寓坐落于滨海新区中央商务区，周边交通路网完善，便捷的连接外滩商业区、于家堡金融区、经济开发区及天津港保税区。瑞湾国际公寓提供宽敞的起居室和餐厅、设备齐全期待您的光临
            ",100%,22 晚,普通公寓,1室1厅,整租,"双人床
单人床",2张,3人,1,76平米,提供,天津-滨海新区-新港一号路-瑞湾国际汇馆,天津,滨海新区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '浴缸']",游玩景点（距离优先） 1、天津海昌极地海洋世界（4A），距离＜6km 2、东疆湾黄金海岸（4A），距离＜21km 3、天津方特欢乐世界（4A），距＜21km 4、天津泰达航母主题公园，距离＜24km 5、天津欢乐谷（4A），距离＜46km 6、古文化街旅游区（5A），距离＜52km 7、五大道文化旅游区（4A），距离＜52km 8、意大利风情旅游区（4A），距离距离＜52km 超市（距离优先）：,,1, 一开始进来抱着试试的态度，但是进来以后发现真的是太！好！了！,299,5.0,100.0%,71.4%,95.6%,9,3.222
