名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
潮白河孔雀城轰趴度假别墅四房,"
                来这里度假了。
潮白河孔雀城别墅，四层民宿。位于北京通州区与大厂交界，距离新市政府只有几公里。
娱乐（唱歌，乒乓球，麻将），住宿（五张大床），厨房（自己买菜做饭），有电梯。
欢迎预定。
            ",100%,26 晚,独栋别墅,4室2厅,整租,双人床,5张,15人,4,340平米,提供,廊坊-大厂回族自治县-厂通路 -潮白河孔雀城雅园,廊坊,大厂回族自治县,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '提供早餐', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待外宾', '被子', '泳池', '浴缸']",古典欧式风格装修，配备舒适的大床房和床垫，相信您一定会舒舒服服的睡个好觉！别墅共有三间大床房，其中一间有两张大床，一共可供八人居住。除此之外室内还有空调、衣柜、液晶电视、免费wifi、以及独立卫生间哦（24小时热水是妥妥的）！如果您想做饭厨房免费提供给您，厨具调料齐备！另外还提供乒乓球、麻将、KTV等娱乐设施，快来体验吧！,"方案一: 坐地铁八通线到通州士桥地铁站下车后，坐910路公交车到潮白河滨河大道下车，步行5分钟即到

方案二: 坐地铁6号线在潞城地铁站下车，倒822公交车在潮白河滨河大道下车，步行5分钟即到",0,,2399,,100.0%,100.0%,100.0%,1,0.0
上上城三季精装两居大床房间,"
                房间特色 正规两室一厅 独立厨房 独立卫生间 可做饭 房间干净整洁 配备设备齐全 家居家电都有 隐私空间非常好 
            ",100%,22 晚,小区住宅,2室1厅,整租,"双人床
双人床",2张,4人,1,90平米,提供,廊坊-三河市-燕顺路8号 -上上城三季,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '允许携带宠物', '接待外宾', '被子']",,交通信息 小区门口公交车或自驾车到北京市天安门40分钟。分钟，公交车国贸直达公交车30分钟，出小区100米机场巴士,0,,258,,100.0%,100.0%,80.0%,1,0.0
汇景轩商务公寓民宿~竹,"
                艺术大道丰盛路交囗处，38路公交丰盛路北站，第一创业证券楼上。商务公寓楼。
            ",100%,28 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,33平米,提供,廊坊-广阳区-艺术大道丰盛路交口-汇景轩,廊坊,广阳区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '餐具炊具', '智能门锁', '被子']",,楼下38路丰盛路北站。,0,,168,,100.0%,100.0%,100.0%,1,0.0
紧邻雄安新区农家风俗小院 静思小宅,"
                整体四合小院有照片，无线上网，卫生条件，健身，麻将，采摘，一次性洁具，节假日带亲朋好友理想去处，慢节奏，没有城市喧嚣，浮躁，风吹麦浪到了，紧邻雄安新区，白洋淀、北京野生动物园，周边采摘园，生态园，歌厅，洗浴，烧烤，超市、距离都很近。**自行车公园22公里，紧邻首都第二国际机场26公里。旅游攻略，订房下单--直接北京野生动物园---自行车公园，---孔雀城大湖--农博园--1天回小院儿--第二天直接白洋淀景区--清西陵--狼牙山结束全程。玩法2:下单订房不出院子打麻将，打球，修花草，找个厨娘做农家饭，喝酒狂玩儿，晚上烧烤狂欢，转农村夜景。第三种玩法：闭门思静，听点佛教音乐，坐在小院思考人生，思考未来，慢节奏享受农庄生活。在这热闹非凡，快节奏城市生活，到幽静农村来静静思考吧
            ",100%,22 晚,四合院,3室2厅,整租,榻榻米,3张,4人,1,280平米,提供,廊坊-固安县-渠沟乡东辛庄-双井巷13,廊坊,固安县,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '餐具炊具', '电吹风', '允许携带宠物', '接待外宾', '被子', '浴缸']",整体四合小院有照片，无线上网，卫生条件，健身，麻将，采摘，一次性洁具，节假日带亲朋好友理想去处，慢节奏，没有城市喧嚣，浮躁，风吹麦浪到了，紧邻雄安新区，白洋淀、北京野生动物园，周边采摘园，生态园，歌厅，洗浴，烧烤，超市、距离都很近。世界最大自行车公园22公里，紧邻首都第二国际机场26公里。旅游攻略，订房下单--直接北京野生动物园---自行车公园，---孔雀城大湖--农博园--一天回小院儿--第二天,整体四合小院有照片，无线上网，卫生条件，健身，麻将，采摘，一次性洁具，节假日带亲朋好友理想去处，慢节奏，没有城市喧嚣，浮躁，风吹麦浪到了，紧邻雄安新区，白洋淀、北京野生动物园，周边采摘园，生态园，歌厅，洗浴，烧烤，超市、距离都很近。世界最大自行车公园22公里，紧邻首都第二国际机场26公里。旅游攻略，订房下单--直接北京野生动物园---自行车公园，---孔雀城大湖--农博园--一天回小院儿--第二天,0,,480,,100.0%,100.0%,80.0%,1,0.0
孔雀城丹枫园奥莉泡泡地中海风格风情一居,"
                大家好我房子坐落于想祥云南道 房子位于黄金地段，黄金楼层，简约一居室，家居家电齐全，装修有特点，非常适合年轻人居住，房子朝阳面，采光好，房租格局和面积设计非常合理，让人感觉非常舒服、小区环境优美，适于居住，人文素质高，物业管理完善，小区绿化面积大，空气好，让你感受花园一样的家。最主要私密性好。
            ",100%,16 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,40平米,提供,廊坊-广阳区-祥云道-孔雀城丹枫园,廊坊,广阳区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '接待外宾']",,,0,,158,,100.0%,100.0%,82.9%,5,3.0
【房间已消毒安心住】【网红ins】【东贸服装城楼上】【可住4人】【物美超市】,"
                尊敬贵宾您好，相遇即是缘分，真诚服务每一位客官。期待您的光临

【安全无忧】专业民宿品牌智能密码锁（100%保证一客一换密码）

【卫生放心】床品100%一客一换，一客一打扫，房间一客一消毒。

【床品清洗】布草专业厂家★★★清洗服务。

【洗漱用品】采购民宿专用，★★★★二线品牌洗漱用品。

【床垫】泰国进口高级乳胶床垫★★★★★

【开车】门口直达进京通燕高速。往北走4公里就是京秦高速。

【公交】兴达广场小区公交站，有815.930.819路到地铁1.6号线

【设施】有电视/投影仪个别房间开通芒果VIP，洗衣机，冰箱，空调，24小时热水。免费100兆 WIFI，做饭工具，洗漱用品齐全

喜旺居民宿公寓欢迎您的体验。敬待君卿。更多房源请点击我头像。
注：本店房子只接待居住，请遵守中国法律，谢谢配合！
            ",100%,40 晚,普通公寓,1室1厅,整租,"双人床
双人床",2张,4人,1,61平米,提供,廊坊-三河市-燕郊开发区国道北侧东贸国际公寓-东贸国际公寓,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '有窗户', '落地窗', '沙发', '茶几', '挂烫机', '空气净化器', '洗浴用品', '牙具', '香皂']",,,0,,318,,100.0%,100.0%,100.0%,8,3.75
高铁廊坊站 艾佳钻石国际公寓,"
                酒店式公寓位于高铁廊坊站马路对面的钻石国际大厦，电梯直达楼层。附近有钰海嘉苑小区公交站和廊坊站公交站（14，19，24，26a，26b，28，35路等）。特有两间双大床房（1.8×2米），另有沙发。 公寓洁净、舒适，严格遵循“一客一换一消毒”制度，一次性用品齐全、品质好。可空手入住。有两瓶迎宾农夫山泉，房间独立光纤宽带和wifi，独立卫浴，电开水壶，吹风机，液晶电视，空调，地暖，洗衣机，冰箱，沙发和厨房……。可洗衣做饭。是您出差，探亲，旅游，聚会的不二选择。
            ",100%,16 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-安次区-常甫路-钻石国际,廊坊,安次区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许携带宠物', '被子']",,,0,,136,,100.0%,100.0%,95.8%,5,2.78
诗人民宿_燕郊燕顺路上上城第三季舒适型两居室,"
                小区地处燕郊燕顺路繁华的地段，购物方便，大型商超“乐天玛特”、“星罗城”、“沃尔玛”均在两三站地内。社区500米内有社区医院（以防万一），
房子精装修一直自己住，甩快捷酒店几条街，属于首次出租，室内采光很好，小区环境非常好，适合晚上遛弯，室内无线网络、LG空调、热水器、洗衣机、冰箱配套齐全，具有独立厨房以及配套厨餐具可做饭，社区环境安静舒适，是附近所有小区中环境最棒的！期待你的到来。
            ",100%,16 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,1,80平米,提供,廊坊-三河市-燕顺路-上上城三季,廊坊,三河市,"['无线WIFI', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '拖鞋', '电梯', '保安']",紧邻大型物美超市、东贸国际服装城、中央美院、运河苑温泉度假村、星罗城商场、电影院、燕达医院。,门前有815/819/818路公共汽车40分钟可直达国贸和45分钟草房地铁6号线。小区离燕郊火车站3000米，离首都机场开车40分钟（楼下就是机场大巴站） 小区地处燕郊燕顺路超繁华的地段，购物方便，小区离燕郊火车站3000米，离首都机场开车40分钟（楼下就是机场大巴站） 与北京一河之隔紧邻102国道 自驾更便捷！,1, 第一次住民宿，房间住着挺舒服的，干净宽敞明亮，老板人也挺和善的，地理位置也不错，出门坐车挺方便，10块钱就可以拼上私家车而且还不用等。,148,5.0,100.0%,75.0%,100.0%,4,4.925
固安豪华一居室套房,"
                全天热水，WIFI，有线网络，数字网络电视，空调，洗衣机等。
            ",100%,23 晚,普通公寓,1室1厅,整租,"双人床
沙发床",2张,3人,1,50平米,提供,廊坊-固安县-新昌街21号-苹果公寓,廊坊,固安县,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '被子']",周边有人民广场，中央公园，固安生态公园，白广寺，动物园等多处景点，紧邻聚宝隆购物中心。,,0,,128,,100.0%,70.0%,95.0%,5,1.0
孔雀城丹枫园精品一居室,"
                廊坊孔雀城丹枫园日租短租精品公寓 房子位于黄金地段，黄金楼层，简约一居室，家居家电齐全，装修有特点，非常适合年轻人居住，房子朝阳面，采光好，房租格局和面积设计非常合理，让人感觉非常舒服、小区环境优美，适于居住，人文素质高，物业管理完善，小区绿化面积大，空气好，让你感受花园一样的家。最主要私密性好。
            ",100%,26 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,30平米,提供,廊坊-广阳区-南尖塔镇艺术大道-孔雀城丹枫园北门,廊坊,广阳区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '接待外宾']",,,0,,138,,100.0%,100.0%,82.9%,5,3.0
固安鑫鼎商务大床房,"
                全天热水，WIFI，有线网络，数字网络电视，空调，洗衣机等。
            ",100%,22 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,40平米,提供,廊坊-固安县-新昌街21号-苹果公寓,廊坊,固安县,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '被子']",周边有人民广场，中央公园，固安生态公园，白广寺，动物园等多处景点，紧邻聚宝隆购物中心。,,0,,128,,100.0%,70.0%,95.0%,5,1.0
紧邻聚宝龙购物广场正规一居短租,"
                位置在苹果公寓，紧邻聚宝龙购物广场
            ",100%,24 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,40平米,提供,廊坊-固安县-新昌街21号 -苹果公寓,廊坊,固安县,"['宽带上网', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '被子', '泳池']",,,0,,150,,100.0%,100.0%,100.0%,1,0.0
【简爱民宿】黄柚投影主题房间，燕京理工学院弘阳广场附近，大屏投影，一次性毛巾,"
                【简爱民宿】黄柚投影主题房间，燕京理工学院弘阳广场附近，大屏投影，一次性毛巾，北欧简约装修风格
            ",100%,30 晚,Loft公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-燕灵路与化工路交叉口-甜城39街区,廊坊,三河市,"['宽带上网', '无线WIFI', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '电磁炉', '电饭煲', '卡拉OK', '投影设备', '灭火器']",,,0,,159,,100.0%,100.0%,80.0%,11,5.0
【简爱民宿】深蓝海洋投影主题房，大屏投影，燕京理工学院弘阳广场附近，星河园对面,"
                【简爱民宿】深蓝海洋投影主题房，大屏投影，燕京理工学院弘阳广场附近，星河园对面
            ",100%,30 晚,Loft公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-燕灵路与化工路交叉口-甜城39街区,廊坊,三河市,"['宽带上网', '无线WIFI', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '电磁炉', '电饭煲', '卡拉OK', '投影设备', '灭火器']",,,0,,159,,100.0%,100.0%,80.0%,11,5.0
福成五期豪装二居空调热水WiFi近大型购物中心813/814进京始发站物美、家家悦、永辉四家大型超市,"
                1 
            ",100%,17 晚,其它,2室0厅,整租,"双人床
单人床",2张,3人,1,60平米,提供,廊坊-三河市-燕高路-福成.上上城五期,廊坊,三河市,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '有窗户', '沙发', '洗浴用品', '牙具', '刀具菜板', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '微波炉', '灭火器']",,,0,,128,,100.0%,100.0%,80.0%,2,5.0
优雅温馨民宿,"
                中试风格，有沙发，电视，冰箱，
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,60平米,提供,廊坊-固安县-迎宾大道-文创园公遇楼,廊坊,固安县,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '灭火器', '花园', '观景露台']",有地下停车场，还有公园,1路记到,0,,138,,100.0%,100.0%,100.0%,1,5.0
温馨民宿,"
                中式风格，有电视，洗衣机，冰箱等，环境舒适优雅
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,54平米,提供,廊坊-固安县-迎宾大道-文创园,廊坊,固安县,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '接待儿童2到12岁', '接待老人60岁以上', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '灭火器']",,,0,,148,,100.0%,100.0%,100.0%,1,5.0
近弘阳广场三九街区温馨loft，全新装修，拎包入住,"
                全屋简欧风格，以白色为主，全新家具家电，紧邻弘阳广场，理工学院，商业街，交通方便
            ",100%,20 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,40平米,提供,廊坊-三河市-燕郊开发区-首尔甜城三九街区,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '允许抽烟', '有窗户', '落地窗', '沙发', '茶几', '净水机', '加湿器', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '电磁炉', '投影设备', '灭火器']",小区周边生活配套完善，弘阳广场大型商场，物美超市，理工学院，公交总站,小区楼下304.305.紧邻815公交总站,0,,169,,100.0%,100.0%,80.0%,3,5.0
丹枫主题大床房万象城，高速口，不进小区，密码自住，热水淋浴，暖气,"
                万象城，高速口，不进小区，密码自住，主题情侣房，热水淋浴，暖气一客一换
            ",100%,24 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,40平米,提供,廊坊-广阳区-祥云道丹枫社区,廊坊,广阳区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '有窗户', '洗浴用品', '牙具']",万象城，丹凤公园，高速口，银河路，北凤道，,,0,,138,,100.0%,100.0%,80.0%,8,5.0
万象城，高速口，不进小区，密码自住，主题情侣房，热水淋浴，暖气,"
                万象城，高速口，不进小区，密码自住，主题情侣房，热水淋浴，暖气 每客消毒
            ",100%,18 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,40平米,提供,廊坊-广阳区-祥云南道-孔雀城丹枫园,廊坊,广阳区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '有窗户', '洗浴用品', '牙具', '香皂']",,,0,,138,,100.0%,100.0%,80.0%,8,5.0
五期20号楼欧式精装一居室空调WiFi热水洗澡813/814进京始发站,"
                精装一居温馨家园，近商场购物中心，吃住行方便快捷。
            ",100%,17 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-燕高路-福成.上上城五期,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电饭煲', '灭火器', '观景露台']",,,0,,125,,100.0%,100.0%,80.0%,2,5.0
近医院近大学温馨私享,"
                 近医院近大学温馨私享
            ",100%,18 晚,其它,1室0厅,整租,双人床,1张,2人,1,40平米,提供,廊坊-广阳区-祥云南道-孔雀丹枫园,廊坊,广阳区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '热水壶', '电梯', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '被子', '有窗户', '沙发', '洗浴用品', '牙具', '刀具菜板', '燃气灶', '电磁炉', '微波炉']",,,0,,138,,100.0%,100.0%,80.0%,8,5.0
【站前1号公寓】国道边，燕郊站对面（亚朵楼下）全新1.8米大床房,"
                空调，热水器，全新家具
交通方便，燕郊火车站对面，楼下就是公交车站，多趟公交直达国贸郎家园。环城公交盛恒时代站。102国道北侧，燕郊火车站对面，楼下就是公交车站，全新1.8米大床，安静舒适，周边外卖超多！
            ",100%,24 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-102国道北侧-盛恒时代,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '泳池', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '洗涤用品', '麻将机', '桌面游戏', '音响设备', '灭火器']",102国道与汉王路交叉口，对面火车站，周边生活配套齐全，超市，药店，饭店超多。,,0,,138,,100.0%,70.0%,80.0%,7,5.0
【站前1号公寓】全新1.8米大床房，燕郊火车站对面（楼下）,"
                亲爱的客人，欢迎来到我们的家！
【位置】102国道北侧，燕郊火车站对面，距离迎宾路口400米，楼下就是公交车站，多趟公交直达国贸大望路。周边200米超市、药店、饭店云集，外卖超多哦！
【户型功能】我家是温馨1居（独立厨房、卫生间），房源有1张1.8米双人床可供2人居住，希望您有个舒适的睡眠。
【尽享私密】房源配置智能密码锁，出入无需钥匙门卡，全程自助，给您安静的享受
【干净卫生】我们有专业的保洁清扫，让您住得安心
            ",100%,24 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-102国道北侧-盛恒时代,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '泳池', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '麻将机', '桌面游戏', '音响设备', '灭火器']",位于燕郊城区中心位置，楼下50米是九龙医院（可做核酸），周边超市、药店、饭店云集。,,0,,138,,100.0%,70.0%,80.0%,7,5.0
【站前酒店公寓】燕郊站投影~国道~密码入住~独立公寓大床房,"
                亲爱的客人，欢迎来到我们的家！
【位置】我家在国道边，燕郊火车站对面、楼下就是公交车站，公交车811、814、816、817、930等多趟直达国贸大望路。火车站多趟列车直达唐山秦皇岛。临近三河市燕郊二三医院、燕郊人民医院
【设备】投影仪，空调，热水器，暖气，无线网络等。
【特色服务】我们将为您提供行李寄存服务
【户型功能】我家是温馨1居（1室1厅1卫1厨房），房源有1张双人床可供2人居住，希望您有个舒适的睡眠。
【尽享私密】房源配置智能密码锁，出入无需钥匙门卡，全程自助，给您安静的享受
【干净卫生】我们有专业的保洁清扫，让您住得安心
            ",100%,24 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,48平米,提供,廊坊-三河市-102国道北侧-盛恒时代,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '泳池', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '麻将机', '投影设备', '桌面游戏', '音响设备', '灭火器']",房子在102国道北侧，西行400米是迎宾路口，有KFC和京客隆超市、中工农建四大银行和邮局。东行50米是九龙医院（可做核酸）。再往东100米是公交车站、燕郊火车站、汉王路口，这里小吃店、超市、蔬菜水果药店林立。往北100米是行宫小学、儿童医院，二三医院等。,,0,,138,,100.0%,70.0%,80.0%,7,5.0
102国道燕郊火车站~干净两居~密码入住（亚朵楼下）,"
                火车站对面（亚朵楼下），紧邻国道，交通方便。公交特别多，周边外卖也超多哦！
楼下就是九龙医院，随时可做核酸检测。
            ",100%,24 晚,小区住宅,2室1厅,整租,"双人床
单人床",2张,3人,1,68平米,提供,廊坊-三河市-102国道北侧-盛恒时代,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '泳池', '有窗户', '茶几', '洗浴用品', '牙具', '香皂', '麻将机', '投影设备', '桌面游戏', '音响设备', '灭火器']",102国道北侧，汉王路西侧。周边有KFC，麦当劳，小吃店、外卖超多哦！,,0,,168,,100.0%,70.0%,80.0%,7,5.0
【站前1号公寓】—燕郊站国道边投影公寓（亚朵楼下）,"
                投影仪，空调，洗衣机，一次性用品齐全。交通非常方便，燕郊火车站对面，汉王路口。楼下就是公交车站，多条公交直达北京大望路（国贸），周边生活配套齐全。停车方便，外卖品种超多！
            ",100%,24 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,50平米,提供,廊坊-三河市-102国道北侧-盛恒时代,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '允许抽烟', '泳池', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '投影设备', '桌面游戏', '音响设备', '灭火器']",00米内有饭店，超市，公交车站，火车站，药店等等生活配套。,,0,,148,,100.0%,70.0%,80.0%,7,5.0
投影公寓~桃花汉服主题~国道燕郊火车站~密码自助入住,"
                十里桃花主题，提供男女汉服两套
            ",100%,30 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,45平米,提供,廊坊-三河市-G102(京榆大街)-盛恒时代A座,廊坊,三河市,"['宽带上网', '无线WIFI', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待老人60岁以上', '新风系统', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '洗涤用品', '麻将机', '投影设备', '音响设备', '灭火器', '花园']",,,0,,138,,100.0%,70.0%,80.0%,7,5.0
温馨舒适双床房房万象城附近栖云双床房商务民宿暖气房空调房情侣房免费停,"
                房屋是丹枫园公寓，单元门在路边，直接电梯！停车方便！房源位于丹枫园公寓，电梯在路边，不用进小区
            ",100%,18 晚,小区住宅,1室0厅,整租,单人床,2张,2人,1,30平米,提供,廊坊-广阳区-祥云南道-孔雀丹枫园,廊坊,广阳区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '浴缸', '有窗户', '洗浴用品', '牙具', '香皂', '燃气灶', '灭火器']",合家欢妈妈菜，彭厨，微宋,,0,,138,,100.0%,100.0%,80.0%,8,5.0
主题粉色房,"
                房屋是丹枫园公寓，单元门在路边，直接电梯！停车方便！主题房间，温馨舒适，干净明亮，享受着二人世界的美好空间！
            ",100%,19 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,30平米,提供,廊坊-广阳区-祥云南道-孔雀丹枫园,廊坊,广阳区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '电吹风', '智能门锁', '允许抽烟', '有窗户', '洗浴用品', '牙具', '香皂', '灭火器']",位置周边市政府，丹凤公园，多家大型饭店，楼下小吃，超市，出行方便！,,1, 房间干净整洁。入住体验感非常好。用的东西也齐全，洗澡方便快捷。位置周边配套也很多，性价比超级高。主要美女老板人还特别好,142,5.0,100.0%,100.0%,80.0%,8,5.0
