描述,价格,房源类型,出租类型,可住人数,面积,省份,城区,房源评论数,房客评价,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分,房源好评率,近期预定量
"
                感谢您关注小窝。您出行的舒适方便惬意，这里都可以给您。
房屋内设施齐全，所有卧室客厅皆配备空调。客厅主卧两个电视。洗漱用具、拖鞋（一次性的和家用的任您选择）、干湿纸巾等都已备齐。装修风格时尚轻奢，又超棒舒适，品牌床品保证您夜夜安睡。厨房用品也一应俱全，是出行下榻不二之选。
            ",368,普通公寓,整租,4人,90平米,天津,津南区,1, 小区环境不错，服务态度超级好，美女姐姐也非常热情，住着舒心，屋里也非常干净，下次出差还会选择你家。,5,100.00%,100.00%,100.00%,2,5,100%,16 晚
"
                房间可睡3-6人。穿梭车水马龙，放眼流光魅影，这个小家，就像一缕阳光，穿透繁华与浮躁，依然带着温暖和能量。无论是公私差旅还是亲朋小聚，都能感受到同样温馨的体验，相信会给朋友们留下温暖美好的回忆！【关于设计】其灵感来源于西班牙蔚蓝色的海岸与白色沙滩。希腊的白色村庄与沙滩和碧海、蓝天连成一片。
在房间内让人仿佛置于大海旁，使人放松自然。【关于安全】住民宿，安全最重要！所有房源均标准配备：智能联网密码锁、消防灭火器、防烟面罩； 【关于卫生】所有与您肌肤相亲的床品等一客一换，并且合作专业保洁洗涤供应商对房源进行清扫消杀； 【客厅】沙发、智能电视盒、吧台，餐桌； 【卧室】榻榻米、床品、羽绒床褥  【卫生间】干湿分离独立浴室、镜前化妆灯、全自动滚筒洗衣机、热水器非常适合商务。
            ",228,小区住宅,整租,3人,78平米,天津,河北区,5, 车直接开到了楼下，也有免费的停车位，屋内有热水、空调，住的还算比较舒服????吧+ 房东人非常好 问题都耐心解决 很好+ 房东态度很好+ 订了两个房间，都很不错，房东态度很好+ 房东不错，有理有节,4.9,100.00%,100.00%,99.20%,1,4.9,97%,30 晚
"
                房屋小区位于京津城际高铁武清站东南500米，华北地区的奢侈品折扣店——佛罗伦萨小镇南侧，紧邻龙凤河、京杭大运河及永定河，为三江汇流天然氧吧之地，也是武清面向北京地区的温泉休闲综合体小区。
房间里都配有齐备的生活用品，可满足您的日常生活所需。房屋整体装修会给你带来一片舒适惬意的感觉。闲来还可到佛罗伦萨小镇去逛逛，距离非常非常近。逛回来后躺在干净舒适的床上，在鸟语花香中醒来，美美的伸个懒腰，无比惬意。
            ",258,普通公寓,整租,4人,104平米,天津,武清区,8, 差劲?? 非常差 不满意+ 床褥很柔软舒服，里面也挺干净的，交通方便。+ 交通便利 家里整洁干净+ 可以做饭#  设施齐全#  + 房间很满意，也很暖和。+ 环境很好，设备齐全，干净利落，房东人很好，性价比很高。+ 停车方便#  干净卫生#  设施齐全#  小区环境好#  下次还住这#  + 房东服务周到#  干净卫生#  设施齐全#  性价比高#  小区环境好#  ,4.4,100.00%,93.50%,94.90%,13,4.177,88%,36 晚
"
                简约时尚精装修，配备舒适的大床和一客一换的床上用品。以人为本设计的办公桌、茶几和小圆桌，无论您是办公、用餐还是会客，都会有不同的空间和环境。
?500米内有药店、银行、各种餐饮店、彩带公园、极地海洋馆。
1000米内有医院、高铁站、外滩公园、金元宝购物中心、环球购免税购物广场、电影院、潮音寺等配套设施，很好齐全。
            ",185,普通公寓,整租,2人,50平米,天津,滨海新区,0,,,100.00%,100.00%,90.70%,9,4.989,100%,30 晚
"
                天津名郡LOFT公寓为天津名郡管理有限公司鼎力打造的天津**高端复式公寓。

公寓配置以5星级为标准，统一瑞典宜家风格装修，打造天津**高端复式公寓。公寓为挑高5.25米的精装LOFT公寓。公寓类型有1室1厅2卫和2室1厅2卫,房间结构属于上下两层的复式结构,公寓配置齐全。
公寓配套：

国际流行的双卫干湿分离卫浴空间；
超大落地窗；
入住赠送两瓶矿泉水
床品高温消毒,一次性洗漱用具,一次性纸拖鞋；
每个房间3个独立中央空调；
全自动滚筒洗衣机；天然气灶，冰箱，吹风机
40-52寸的高清液晶电视；IPTV免费点播点播；尽享大片冲浪
双人软床，宜家舒适沙发；
独享10兆WIFI；
全套的天然植物洗护用品；
有停车位，付费停车。


　　　物业全部属于高档配套，24小时安保服务，豪华电梯（6梯），安全可靠。

　　　床单被罩一客一换,一次性洗漱用具,一次性拖鞋，有专人负责卫生,确保您入住的每套房间都干净卫生、安全舒适,实惠的价格，五星级的设施，专业级的私密性保护，让您有超值得享受。让入住的每个客户安心、舒心，让您放下行包即可入住! 给您带来一个真正移动的家！
            ",335,酒店式公寓,整租,4人,90平米,天津,和平区,10," 一家人出行 特别方便，位置距离商圈特别近，设备齐全，距离意大利风情区也超级近。店家非常奶思，体验感非常好+ 非常不错的+ 位置交通：地铁一号线海光寺地铁站B口东行400米就到了，很好找，距离五大道也就两公里左右，不远。公寓设施：基本齐全，有居家的感觉，布置的很温馨，卫生条件不错，进门特意掀被子看了看，新换的床单。店家服务：工作人员和保洁姐姐服务都很好，很热情。总体来说，这个位置，以这个价格入住，性价比十分高了，整体感受很好，需要说明的是，不能和五星级酒店比哈，毕竟价格差两倍呢，每个人要求和标准不同，仅供大家参考。以我个人来说，推荐，下次有机会，还会选择他家！真的强烈推荐！！！+ 这家民宿非常好，卫生整洁，房间舒适，地理位置绝佳，交通方便，周围设施很多，方便出行，入住体验非常好，老板也非常热情给推荐了天津的休闲特色美食，游玩地点，强烈推荐！??+ 房间很奈斯，老板很热心，祝的很舒服??+ 
环境不错，干净卫生，房东也很热情+ 房东真是的人超好 最重要的是人也超漂亮 房子也很满意 床睡着很舒服 喜欢+ 停车方便#  房东服务周到#  干净卫生#  全天热水#  房东是个活地图#  + 小姐姐人超好！房子也挺好的+ 非常好，很舒服，老板服务热情周到",5,100.00%,100.00%,96.80%,3,4.933,99%,24 晚
"
                干净，舒适
此房间90平米，可以接待4人入住。有一个独立卫生间。房间内有厨房，可以做饭。生活方便，是您旅行居家的选择。
            ",188,小区住宅,整租,4人,90平米,天津,武清区,1, 房东人还不错的，就是预订的时候没注意退房时间是早上8点,4.5,100.00%,70.00%,100.00%,1,4.9,90%,16 晚
"
                房间空间大，适合2-3人居住，安保设施好安全私密


            ",188,小区住宅,整租,2人,60平米,天津,南开区,2, 地铁交通便利#  + 停车方便#  地铁交通便利#  可以做饭#  房东服务周到#  干净卫生#  ,4.6,100.00%,100.00%,87.70%,1,4.8,93%,24 晚
"
                该单间为双人间，面积12平米。房间隔音效果好，有窗自然采光，通风效果好，空气清新。
屋内设施齐全，有电视、空调、暖气、衣帽柜、双人床，写字台，衣架等，提供卫星电视、无线宽带。
每天专人打扫、消毒、床上用品每天清洗更换,请您放心使用。
本店使用燃气热水器，卫生间每天清洁、消毒，24小时供应热水。
干净卫生，快捷安全，拎包即可入住。
1.本店将为您提供热情周道服务。为学生，求职、培训、培护等居所。
2.如果您需要发票报销，本店可以提供发票，需要您按国家发票税点交纳相关费用。如果您能够承担发票税点所需费用，本店可提供办理机打地税发票的服务。
3.本单间提供加床服务，单人床每天10元。
            ",65,小区住宅,单间,2人,12平米,天津,南开区,10," 房间很满意，价格实惠，设施齐全，房东很好，下次还来。
+ 挺好的，很顺利就自行找到位置了。周边交通也比较便利，房价很干净，房主很热情周到的介绍天津情况，推荐游玩路线。不错！+ 住的很舒服+ 非常不错，和在家一样。+ 很不错，房东人很好+ 设施可以，公交方便+ 房子很舒服，很干净，交通很方便，房东也非常好，还会介绍哪些地方有好吃的。+ 房间非常整洁，住宿方便，房东人也非常好，交通也很方便！满分好评！+ 房间干净温馨，就跟住在家里一样舒服。房东很细心，房子很干净，交通便利+ 虽然房间的隔音不太好，但是房间打扫的很干净，地板锃亮。卫生间也十分整理。客厅有监控，安全问题有保证。但如果有厨房能用就更好了。",4.8,80.00%,100.00%,90.50%,6,4.917,95%,32 晚
"
                回家的过程不是来路
而是归途……
没有不认识的陌生人
只有还没认识的朋友……
一个温馨的小窝
一杯淡淡的清茶
足以让心回归 
黛山归来
欢迎你回家…
如果有1天，你累了，
想找一个安静的地方独自呆着，
欢迎你能来这里一个人发呆！
如果你有朋友来天津看望你，
你可以带他来我的民宿！在这里你们可以彻夜畅谈慰藉你们彼此孤独的灵魂，也许我会送上几罐啤酒
黛山归来是我的第三套民宿……
在这里希望你有你的栖息之地～


我是一名室内设计师，平常工作时间自由，喜欢结交五湖四海的朋友们！如果你来天津是一个人，需要有人给你做向导，我若有时间，可以带你看一看这个城市，听听我的故事！
我是个俗气至顶的人，见山是山，见水是水，唯独见了你，云海开始奔涌，江潮开始澎湃，一切美好的都想和你分享，你无须开口，我和天地万物便统统奔向你 。

你可以准备酒
我可以我准备我的过往……
跟你一起喝下这个城市你我的际遇
欢迎你入住我的民宿，愿你有一孩子的心和孩子般的快乐……
亦或者有人能把你宠成孩子一样……
笑容永远灿烂
童心未泯
祝福住过我民宿的人，都幸福快乐……
永不孤独……
            ",290,小区住宅,整租,4人,92平米,天津,津南区,3, 很舒适很干净 开心的旅程+ 第一次出门选择民俗，特别满意，让我们身在异乡有了家的归属感。好像不仅仅是一个住所，赋予了更多的生活气息，感谢主人！感谢际遇！+ 我们住了一晚，准备续租，可惜，房子被别人租了，很满意。,5,100.00%,100.00%,98.80%,1,5,100%,16 晚
"
                公寓坐落于滨海新区中央商务区，周边交通路网完善，便捷的连接外滩商业区、于家堡金融区、经济开发区及天津港保税区。瑞湾国际公寓提供宽敞的起居室和餐厅、设备齐全期待您的光临
            ",289,普通公寓,整租,2人,76平米,天津,滨海新区,1, 略略略略略,4,100.00%,71.40%,95.60%,9,3.222,80%,22 晚
"
                田园式的家居风格，是否符合您的胃口？房间内沙发、茶几、宽带、电视、冰箱、热水器等生活设备齐全。可以拎包入住，适合居家旅行，情侣蜜月、商务洽谈等
            ",198,小区住宅,整租,2人,76平米,天津,滨海新区,3, 可以做饭#  房东服务周到#  干净卫生#  设施齐全#  性价比高#  + 房东很好，取钥匙和还钥匙都方便。附近饭店，早餐都很多。交通便利+ 真的非常好,5,100.00%,84.30%,100.00%,2,5,100%,18 晚
"
                邻近于家堡高铁站，面朝海河，超级海景房
            ",268,普通公寓,整租,2人,75平米,天津,滨海新区,4, 环境不错的+ 入住很满意+ 房间真的是很大很宽敞，住得很舒服，下次出差还会选择这里+ 环境好  房东好  厨房什么都有  比酒店好多了,5,100.00%,75.00%,100.00%,1,5,100%,22 晚
"
                房间空间大，房屋温馨舒适，干净整洁，卫生。
公寓提供24小时热水，房间配有独立卫生间，入住方便。
            ",158,普通公寓,整租,2人,48平米,天津,河东区,1, 挺好的啊，阿姨特别好,4.8,100.00%,100.00%,92.50%,7,3.443,95%,16 晚
"
                房间独立一居室开间，房间均为豪华装修。房间采用电子门锁，公共区为图像采集区，先进的安保系统确保您的人身和财物安全；公寓周边配套设施齐全，交通极为便利，我们提供的是全新的居住方式，有别于的冰冷陌生和高消费，入住我们的公寓将给您带来温馨的家庭感受，灵活便捷的居住方式和**经济的消费出租方式*租期随意：日租、月租、不定期租、短期租、长期租均可，是您短期差旅和长期租赁的**选择价格
            ",180,普通公寓,整租,2人,40平米,天津,南开区,2, 挺好的，到店定购会更便宜。+ 挺好的，楼下好多吃的，特别棒啊，住进去都不想出去玩，就想窝在旅馆里,5,100.00%,100.00%,100.00%,1,5,100%,30 晚
"
                你将结识一个热清、爱电影、喜欢游戏的大男生，希望您的入住可以留下一个美好的体验。欧式装修，配备舒适大床和床垫，相信您一定会舒舒服服的睡个好觉。
            ",80,小区住宅,单间,2人,12平米,天津,西青区,2, 真不戳～～房间很干净，隔音也好，卫生间也很干净，全天热水，而且还有洗衣机是我没想到的，楼下就有小超市，附近就是姚村美食街，非常方便，住了几晚，整体感觉不错+   环境非常好 干净卫生 离地铁站很近 交通方便 智哥人也很好 价钱也很实惠,5,100.00%,100.00%,96.90%,8,5,100%,37 晚
"
                摩天轮小区门口就到啦，配备圆床，一次性高端洗漱用品，秋千，沙发，网络，阳台，应有尽有。小区出口五百米就是摩天轮啦。距离中山路地铁站1.2公里。摩天轮五百米，海河游船400米，中山路美食街1.2公里，古文化街900米，意大利风情街2.5公里，吃住行极其方便 交通：天津站2.8公里，天津北站2公里，天津西站2.5公里。
            ",438,小区住宅,整租,6人,128平米,天津,河北区,2, 干净卫生#  设施齐全#  性价比高#  房东服务周到#  + 房子好找#  ,4.3,100.00%,100.00%,99.40%,19,4.621,85%,24 晚
"
                此房间为2楼，夏天有空调，冬天有暖气，春秋均不能使用空调，下单前先联系房东确认有无空房，确认无误后方可下单付款，友情提示：订房的话，周一住，起租7天，周二住，起租6天，周三住，起租5天，周四住，起租4天，以此类推，节假日除外，谢谢合作！如遇节假日及特殊日期订房人太多不能保证留订单图片上一模一样的房间，只能留同等价位的房间，介意者慎拍。本店楼层1~4楼，房型有一室一厅和两室，为了给广大前来就诊的病人及病人家属提供方便，屋内配有电视，机顶盒，房间备有电水壶，电饭锅，炒锅，蒸锅，电扇，空调，免费wifi，能洗澡，能做饭，被褥一客一换，干净卫生，拎包入住,交通便利,附近有菜市场和派出所，即安全又方便，适合来天津肿瘤医院就诊的病人和家属。住在本店的客户另备有医院门口优惠停车位供您选择。
            ",122,小区住宅,单间,4人,15平米,天津,河西区,0,,,100.00%,100.00%,82.10%,13,3.154,100%,16 晚
"
                全新家具家电 欧式风格 拎包入住即可 交通购物非常方便
周围是天津各大旅游景点 火车站很近 机场半小时 
是您商旅居住的好地方
            ",228,普通公寓,整租,2人,54平米,天津,和平区,3, 住宿的很满意，对于床还有不能做到这一点抱有一些遗憾+ 地铁交通便利#  + 挺好的 房间干净 浴室也很亮 不过浴室有点小 没有找到浴巾 床是支架床声响有点大??睡着不舒服?? 星星灯很美,4.8,100.00%,70.00%,100.00%,6,4.95,97%,32 晚
"
                您将结识一位爱读书，爱旅游，开郎热情的大姐，欢迎光临
时尚装修的浪漫风格，酒店式公寓房，入住2人，可以是情侣房，可以是三口之家套房，内有空调，无线网，24小时热水澡，还可提供厨具做饭，旅途之余，到楼下附近超市买些食材，还可做一顿美餐，快来大展厨艺吧！
            ",188,小区住宅,整租,2人,45平米,天津,北辰区,1, 很好很好很好,5,100.00%,100.00%,100.00%,15,5,100%,30 晚
"
                房屋配有品牌家具家电，精品卫浴，星级床品，无论是公司差旅还是亲朋小聚，都是能感受到同样温馨家庭的体验。
            ",198,普通公寓,整租,3人,60平米,天津,蓟州区,0,,,100.00%,100.00%,98.20%,12,3.75,100%,20 晚
"
                房间整洁干净，大房间配有大床及全套家具，四七寸智能电视，wifi，小冰葙，空调，暧气。
小房间配有空调，单人床及全套家具，卫生间：二十四小时热水，洗漱用品，厨房：所有用具齐全。
周边有多条公交线路，802，4，34，632，观光1等多条公交站。
            ",258,小区住宅,整租,3人,50平米,天津,河北区,4, 导航忠发大浴池，旁边就是，很方便，路通畅，小院市井生活气息扑面而来，很凉爽的一个老院小区，但是很干净，而且离海河特别近，院子里停车方便不收费，房东叔叔人特别好，还给我儿子拿水喝，房子特别干净哇，一尘不染，一个精心呵护的房子，居然房东叔叔还给准备了一次性马桶垫，洗漱用品全的狠，很温馨的二室小居，谢谢他的心意，每到一个城市，心与心的诚信交流，租住蜗居一角，就可以折射出一个城市人的素养与热情！大家放心来住哇！+ 房内挺好的，挺喜欢这种在居民区的，就是楼道挺差的。房主很不错，热情好客。+ 非常好的房主，房子能住一家三口或四口，被子床单都非常干净卫生，暖气适中很暖和，再去天津还住这+ 满意的一次短租，房间布置中规中矩，老板用心了！??位置很好离天津之眼很近，可以步行天津之眼，古文化，意大利风情园延海河大约四十分钟。唯一不好的是位于居民区五楼，楼梯沿路居民真的不讲究，比较杂乱。进了房间真的没得说，很温馨。另外老板在门口加装了监控，入住安全！,5,100.00%,100.00%,100.00%,1,5,100%,28 晚
"
                温馨干净，环境好，拎包就住，房间大约48平米左右，可以接待2个人入住。房间呢有一个独立卫生间，起居方便。
            ",158,普通公寓,整租,2人,60平米,天津,河东区,4, 环境还不错+ 地铁交通便利#  房东服务周到#  干净卫生#  + 地铁交通便利#  房东服务周到#  停车方便#  房东热情好客#  干净卫生#  + 挺好的 不错,4.3,100.00%,100.00%,92.50%,7,3.443,86%,28 晚
"
                干净，舒心，温暖，阳光正好，照射温暖大床上，美美睡一觉吧。
            ",168,普通公寓,整租,2人,60平米,天津,河东区,0,,,100.00%,100.00%,92.50%,7,3.443,100%,26 晚
"
                置身为被称为天津**昂贵的1平方公里的滨江道商圈，室内高雅的环境、优质的品质，天津迦兰精品公寓是您商旅居停、休闲度假的惬意之所。 房间信息： 每个房间均配备很棒的客房设施，包括夏普40寸液晶平板电视、AO史密斯热水器、科勒卫浴、全套西门子厨卫设备；高速互联网接口，实现商务和娱乐的综合需求。雕琢完美的细节将您的体验点缀得更为多姿多彩。
            ",338,小区住宅,整租,4人,60平米,天津,和平区,10," 地铁交通便利#  房东服务周到#  干净卫生#  设施齐全#  性价比高#  + 带着爸妈第一次来天津玩，经费有限，选了这家民宿，位置很好，瓷房子、张学良故居走路就到了，而且周围就是商业街，晚上逛街非常方便。离地铁口近，但是我们四个人，去五大道、文化街等地方，打车也很划算还方便，平均不到20块钱。每天有人打扫，有冰箱、微波炉，还有电磁炉，但需要自己准备锅，短期住的话也不需要。房间隔音效果很好，就是客厅的床是两个沙发拼起来的，睡着很不舒服。床单被罩啥还可以，也不能要求太高。总之，还是不错的选择！+ 挺不错的，很舒服+ 是民宿式的酒店，装备很齐全，电器也都很好。每天还会有阿姨来收垃圾。有碗碟，但是没看到筷子。
地理位置特别方便，离天津的景点很近。瓷房子，张学良故居走路去不到10分钟路程。
楼下不远（2分钟路程以内）就是老商业街，很繁华，吃的基本都有。整体很推荐了+ 很好，很干净+ 干净卫生#  地铁交通便利#  + 住的太开心了 没舍得走又续了一晚????+ 房东姐姐推荐的烧烤是真的香??住在滨江道主要就是为了吃外卖和逛街方便 ，干净整洁环境也很安全，住着蛮安心的 。电视可以投屏哦，真的太快乐了。麻烦了房东姐姐很多次都很耐心的为我们解决，以后还会来住的????+ 房东姐姐很好.+ 挺好的 还可以",5,100.00%,100.00%,100.00%,4,4.975,99%,24 晚
"
                宜居酒店式公寓，短租公寓，位于北辰中心，交通方便，屋内温馨舒适，干净卫生，一客一换，设施齐全。紧邻天津第二儿童医院、北辰医院，中医院，47中，华辰学校，集贤中学，北仓二中，北辰职专，电大，北辰公园，北运河，刘园苗圃，环境优雅，安静，欢迎入住我们公寓！设施齐备
对房客的要求：
入住时间14点----次日12点前退房
订房时间每日8点------晚上12点前
可接待性别：不限
可接待年龄：1-59岁
其他要求：请保持环境 爱护设施 遵守当地法律
1，请准备好您的有效身份证件，需要登记；
2，爱护公寓的物品，易碎品超赞只看不碰哦，如果物品损坏，需要再买一件；
3，接待爱干净的，有正当出行目的的人士。随地吐痰，乱扔垃圾烟头的请止步。
4，为了不对楼下邻居造成影响，请保持安静。 
5，入住期间，非入住客人不能留宿。
            ",188,小区住宅,整租,3人,45平米,天津,北辰区,1, 挺好的，房东很客气周到，有任何问题都马上解决，很棒,5,100.00%,100.00%,100.00%,15,5,100%,24 晚
"
                　　绿昙阳光别墅拥有360平方米的室内空间,宽敞舒适。装修简奢,国画装饰,富有中国传统文化氛围。在这里可以享用美式皮沙发的敞亮客厅,充满阳光的花房,冰清玉洁的昙花让您大开眼界。花梨木茶室,花梨木私人办公室,设施完备的厨房和餐厅。我们拥有三间正式的卧室和三个全功能卫生间,还有两个舒适的罗汉床。同时,我们拥有一个可供15人开会的会议室,高清投影和高级音响系统以及麦克风,并提供3个办公工位。
　　房屋的主人有在美国加州和中国京津两地长期经商和生活经历,可以用中文和英文服务客人。我们热情好客,爱好读书、书法、画画,从美国搬回了很多英文原版图书。我们欢迎小朋友来做客,和小朋友一起看书、练习书法绘画、分享异国生活的故事。主人经常在天津和旧金山往返飞,也请客人帮忙照顾这间别墅,并像尊重自己的家一样尊重这里。
　　我们希望客人像回到自己的家,像来到朋友的家。We are friends,Enjoy!
1.自家的房子，四层别墅，2层为公共空间，非常干净，舒适。
2.有前后两个花园院子，院子里可以烧烤。葡萄树下烧烤酌酒谈天下。
3.交通便利，机场、火车站、地铁都很方便。
4.诚心对待每一位来到家的朋友。
            ",1680,独栋别墅,整租,10人,360平米,天津,河东区,2, 交通便利，停车位充足，环境很清静。床铺足够，睡得很好。厨房设施齐全，在家聚餐方便，店家贴心准备了啤酒。小院清晨可以锻炼身体。再更新一下家用娱乐设施就更完美了。一句话：一次很满意的住宿体验+ 很满意，不错的房子,5,100.00%,100.00%,80.00%,1,5,100%,16 晚
"
                本公寓所有配套设施全部更新，安全私密，洁净卫生。
公寓具有舒适的享受，全新的理念，精致的装修，别具匠心的设计定会让您留恋忘返。
为客人提供液晶电脑、免费WiFi、液晶有线电视、独立卫浴等配套设施，全天二十四小时热水，被单全新，确保一户一换，一次性洗漱用品。

            ",80,小区住宅,整租,2人,40平米,天津,河东区,10, 好好好好好好+ 离地铁站有点远。房间很破，墙纸都是烂的，下水是漏的，满地都是水，热水器不能用，床单被套很脏，房间臭烘烘的像住进了贫民窟。楼道环境也很差，电梯门口还有尿。房东一来先拿我的手机拍了他的宾馆，用我的手机给他房子给好评，看到的好评估计都是假的。房东热情倒是真的。。。+ 房间干净整洁，房东接待热情，楼下购物方便+ 房东接待很热情，房间很大也很温馨，楼下超市饭店小吃刨冰都有真的值得推荐+ 很不错 房东人很好+ 房东特别热情+ 照片跟住房不符，房间卫生不干净有蟑螂，晚上睡觉不安稳，全是狗叫声。+ 性价比超高，交通便利，附近设施齐全，最好的是房东超热情。+ 房东态度特别好，11楼光纤着火，气味大，就给调到4楼，房间很大但卫生不好，昏暗的楼道内贴贴着各种小广告，一排排闪光的彩灯给人感觉很暧昧，吓得我姑娘直喊害怕，感觉这里适合恋人约会或情侣偷情的地方，不太适合居家旅行的人群…。+ 我是晚上9：30到公寓的，房东态度很好，还希望我能给个好评，但在这里，我不能昩着良心说话：必须公正：房东说因为前两天楼道光纤电缆着火，所以变成这样，到处迷漫着一氧化碳的烟味，墙被熏的很黑，但房间没问题，可以开窗透空气，我也不愿遮腾了，就凑合一宿吧，但是晚上空调声音很响，青伦棉的被子很冷，空调吹的风让人感到头疼，调了半天也没变，干脆爬起来全副武装，贴上热贴后躺下，把空调也关了，睡到半夜还是冻醒了……,4.1,80.00%,100.00%,98.50%,1,4.5,83%,38 晚
"
                全新家具家电 欧式风格 拎包入住即可 交通购物非常方便
周围是天津各大旅游景点 火车站很近 机场半小时 
是您商旅居住的好地方
            ",348,普通公寓,整租,2人,54平米,天津,和平区,1, 很好的一次体验 ,5,100.00%,70.00%,100.00%,6,4.95,100%,32 晚
"
                loft+田园风，双层独立空间不一样的风格，舒适大床纯木秋千，暖气空调wifi液晶电视冰箱单双人沙发全套厨具热水器双卫生间客用品全新床品毛巾一样都不能少。全套美甲工具，做个免费的美甲DIY吧。
            ",160,普通公寓,整租,2人,86平米,天津,津南区,4, 房东人挺好的+ 可以做饭#  设施齐全#  性价比高#  干净卫生#  房东服务周到#  + 房间很不错，环境也特别好，但是就是床有点瑕疵，有点动作就会响??????+ 位置偏 离最近的地铁站打车15分钟左右 地板很脏灰尘很多 床单皱巴巴的且有很多污渍 像没有换过的 总体来说一般,4.3,100.00%,84.60%,100.00%,1,4.9,85%,24 晚
"
                为您在陌生的城市点亮一盏灯火，给你天津**土著的关怀
全套宜家环保家具，风格清新淡雅，优选舒适床品，给你五星好睡眠，房间为一室一厅套房，夏普液晶电视，西门子电冰箱，洗衣机，海尔中央空调，格兰仕微波炉，美的电磁炉，50兆极速上网体验，超大衣柜，给你应有尽有的家。
            ",688,普通公寓,整租,2人,60平米,天津,和平区,3, 停车方便#  + 可以做饭#  + 房间整体不错，干净整洁！并且实物与图片相符，相较于宾馆酒店来说，价格也相对合适，尤其交通方便,5,100.00%,100.00%,100.00%,4,4.975,100%,30 晚
"
                天津瑞竹公寓式酒店是打造天津高端复式酒店公寓的引领者。
公寓为一室一厅二卫，面积96平方米左右。楼上是卧室，楼下是卫生间、客厅和厨房。
欧式风格的装修典雅大方，所有房间均配有自动刷卡门禁设备，所有房间尽可享受无线wifi，床品一客一换，洗漱用具齐全，是出差、旅行、休闲的不二选择。

            ",258,普通公寓,整租,2人,96平米,天津,和平区,2, 离地铁很近，附近吃的也很多，房东小姐姐人很耐思～房子很宽敞，有两个卫生间，卧室很舒适。+ 设施齐全#  小区环境好#  购物吃饭方便#  房东热情好客#  下次还住这#  ,5,100.00%,100.00%,100.00%,2,5,100%,24 晚
"
                该公寓地段处于天津塘沽滨海新区繁华地带，环境优美，闹中取静，交通极为发达，出门几步就到小吃街，在走上两步直接就是步行街，如果去外滩玩耍打车或开车分分钟就到，等等
            ",588,普通公寓,整租,2人,40平米,天津,滨海新区,0,,,100.00%,100.00%,100.00%,14,3.214,100%,28 晚
"
                房间一客一换，干净整洁，小区环境优雅，地点，红旗南路与宾悦桥交口，交通便捷，公交，地铁直达，小区有超市等等
            ",158,普通公寓,整租,2人,48平米,天津,南开区,0,,,100.00%,100.00%,100.00%,1,0,100%,39 晚
"
                网络，阳台，一次性洗漱用品，应有尽量。离摩天轮800米距离。欢迎您的入住
            ",118,普通公寓,整租,1人,55平米,天津,河北区,2, 完全不满意，图片与实际不符也就算了，房子里环境很差，蟑螂当着面爬过去，隔音效果也差，半夜楼上走路的声音听的一清二楚！+ 与图片非常符合，这个价格也很公道了，跟男朋友一起住的我们都很满意，非常的少女心,3.4,100.00%,100.00%,99.40%,19,4.621,68%,24 晚
"
                该单间为双人间，面积5平米。房间隔音效果好，有窗自然采光，通风效果好，空气清新。屋内设施齐全，有电视、空调、暖气、衣帽柜、上下床，角柜等，提供卫星电视。每天专人打扫、消毒、床上用品每天清洗更换,请您放心使用。本店使用燃气热水器，卫生间每天清洁、消毒，24小时供应热水。干净卫生、拎包即可入住。
本店将为您提供热情周道服务。为学生，求职、培训、培护等居所。
            ",55,小区住宅,单间,2人,5平米,天津,南开区,7," 本次入住还是很满意的+ 干净卫生#  睡的很香#  + 价格很划算，我们两个人住的；
房间有点小，关系亲密的一起住倒不麻烦；
床铺很干净，房东很爱干净好评；
房间外面的走廊有3个监控，大门口也有监控，很安全，出房间门有挂锁；
有洁净饮水机可以用；需要自备卫生纸；
因为一共有5个套间，一个卫生间，所以需要合理安排洗澡时间；
房子周边借用共享单车挺方便；有公交站；再往前走有路边早点车，煎饼果子好评+ 挺好的，特适合青年+ 照片真实，老板人很好，交通也比较便利，也比较安全，推荐入住+ 干净舒适，价格便宜，总体来说性价比还是可以的，房东人不错，还算满意+ 到天津肿瘤医院看病的，意外的惊喜是在网上联系的这个住处这么理想。离医院近，本以为这个价格环境不会怎么样，可没有想到住在这里像回娘家一样温馨，安静，安全，卫生。房主大哥非常热情好客，房间安放好多外地朋友所需要的天津地图，交通地图，地铁线路图，WF就有两个。呵呵，看到特温暖。总之要再住几天，心情好，看病也没有压力。同时还可以品尝天津的名吃也是美美的。",4.8,80.00%,100.00%,90.50%,6,4.917,97%,32 晚
"
                地处老城厢繁华地段，临近海河、南市食品街、古文化街、欧式风情街、大悦城等，交通便利，距离地铁2号线鼓楼站450米、距离一号线二纬路350米。房间配备液晶网络电视、天猫盒子、Wi-Fi、24小时热水器、电水壶、中央空调、地采暖、洗漱用品、浴巾毛巾，房间卫生一客一换，保证干净整洁。公寓配备电梯、房卡电子锁，安全性极高，24小时管家式服务，独立一居室、独立卫生间，私密性高，可放心居住，温馨舒适的大床房给您一个温暖舒适的家.日租时租、月租，租期灵活
            ",599,普通公寓,整租,2人,60平米,天津,和平区,0,,,100.00%,100.00%,100.00%,2,5,100%,26 晚
